feature,importance
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiaceae.g__clostridium.s__clostridium_sp_cag_678,0.0009466161
k__bacteria.p__bacteroidetes,0.00094463263
k__bacteria.p__firmicutes.c__bacilli.o__bacillales.f__bacillales_unclassified,0.0009446014
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_unclassified.g__lawsonibacter.s__lawsonibacter_asaccharolyticus,0.00093305233
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__romboutsia,0.00092471915
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__schitoviridae.g__triduovirus,0.0009235304
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__autographiviridae.g__przondovirus.s__przondovirus_il33,0.000914364
k__bacteria.p__firmicutes.c__bacilli.o__bacillales.f__bacillales_unclassified.g__gemella,0.0009131887
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__coprococcus.s__coprococcus_sp,0.0009031748
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__aerococcaceae.g__abiotrophia.s__abiotrophia_sp_hmsc24b09,0.0008940797
k__archaea.p__crenarchaeota.c__thermoprotei.o__sulfolobales.f__sulfolobaceae.g__acidianus.s__acidianus_sulfidivorans,0.00087850756
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__ruthenibacterium.s__ruthenibacterium_lactatiformans,0.0008649841
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__jerseyvirus,0.0008530484
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__peptostreptococcus,0.0008501859
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__enterobacterales.f__enterobacteriaceae.g__siccibacter.s__siccibacter_turicensis,0.0008500456
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.g__flintibacter,0.00084383745
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__eubacteriaceae,0.0008432772
k__bacteria.p__firmicutes.c__negativicutes.o__selenomonadales.f__veillonellaceae.g__veillonella.s__veillonella_dispar,0.00083874207
k__bacteria.p__actinobacteria.c__coriobacteriia.o__coriobacteriales.f__coriobacteriaceae.g__enorma.s__collinsella_massiliensis,0.0008361165
k__bacteria.p__firmicutes.c__erysipelotrichia.o__erysipelotrichales.f__erysipelotrichaceae.g__candidatus_stoquefichus,0.0008317257
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__rhodobacterales,0.00082355854
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__aeromonadales.f__succinivibrionaceae.g__anaerobiospirillum,0.00082025374
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__oscillospiraceae.g__vescimonas,0.00081006193
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__tyzzerella.s__tyzzerella_nexilis,0.00079043605
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__romboutsia.s__romboutsia_ilealis,0.00077590137
k__bacteria.p__actinobacteria.c__coriobacteriia.o__coriobacteriales.f__atopobiaceae.g__atopobium.s__atopobium_parvulum,0.0007752924
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__lactobacillaceae.g__lactobacillus.s__lactobacillus_equicursoris,0.00077157427
k__bacteria.p__actinobacteria.c__actinobacteria.o__bifidobacteriales.f__bifidobacteriaceae.g__bifidobacterium.s__bifidobacterium_adolescentis,0.0007686657
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_sv96401,0.0007654015
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__bacteroidaceae.g__bacteroides.s__bacteroides_stercoris,0.0007632833
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__peptostreptococcaceae.g__clostridioides,0.00075969426
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__blautia.s__blautia_argi,0.0007587191
k__bacteria.p__actinobacteria.c__actinobacteria.o__propionibacteriales.f__propionibacteriaceae.g__cutibacterium.s__propionibacterium_namnetense,0.00075135514
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__tannerellaceae.g__parabacteroides,0.00074875704
k__bacteria.p__proteobacteria.c__epsilonproteobacteria.o__campylobacterales.f__campylobacteraceae.g__arcobacter.s__arcobacter_butzleri,0.0007447525
k__eukaryota.p__ascomycota,0.0007415597
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_unclassified.g__monoglobus.s__monoglobus_pectinilyticus,0.00074146467
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__roseburia.s__roseburia_sp_cag_471,0.00073219027
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_b1127,0.0007320281
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__porphyromonadaceae.g__parabacteroides,0.0007317633
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__blautia,0.0007298443
k__bacteria.p__lentisphaerae.c__lentisphaeria.o__victivallales.f__victivallaceae,0.0007279754
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__anaerostipes.s__anaerostipes_hadrus,0.0007179872
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_copri,0.0007174656
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__eubacteriaceae.g__eubacterium.s__eubacterium_hominis,0.0007159989
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_sv63302,0.00070601725
k__bacteria.p__firmicutes.c__negativicutes.o__veillonellales.f__veillonellaceae.g__veillonella.s__veillonella_tobetsuensis,0.0007027906
k__eukaryota.p__eukaryota_unclassified,0.0007024786
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__dorea.s__dorea_sp_cag_317,0.00070212357
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__rickettsiales.f__rickettsiaceae.g__orientia,0.0006977806
k__bacteria.p__actinobacteria.c__coriobacteriia.o__eggerthellales.f__eggerthellaceae.g__enterorhabdus,0.00069698854
k__bacteria.p__actinobacteria.c__actinomycetia.o__actinomycetales.f__actinomycetaceae,0.0006894272
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__blautia.s__blautia_sp_an249,0.00068352255
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__bacteroidales_unclassified,0.0006806189
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__lactobacillaceae.g__ligilactobacillus,0.0006762673
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__gemmiger.s__gemmiger_sp_an120,0.00067072577
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__hyphomicrobiales.f__rhizobiaceae.g__agrobacterium.s__agrobacterium_tumefaciens,0.0006682211
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__autographiviridae.g__przondovirus.s__przondovirus_bis33,0.0006669243
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_sp_885,0.0006607256
k__archaea.p__euryarchaeota.c__halobacteria.o__halobacteriales.f__halobacteriaceae.g__halarchaeum,0.000655718
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__hyphomicrobiales,0.000652142
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__ruminococcaceae_unclassified.s__clostridium_leptum,0.0006512399
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__oscillospiraceae.g__oscillibacter,0.0006511036
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__streptococcaceae.g__streptococcus.s__streptococcus_anginosus_group,0.0006484086
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__blautia.s__ruminococcus_gnavus,0.00064545183
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__tannerellaceae,0.0006409786
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_s0139,0.0006399646
k__bacteria.p__firmicutes.c__bacilli.o__bacillales.f__paenibacillaceae.g__paenibacillus,0.0006336753
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__pasteurellales.f__pasteurellaceae.g__aggregatibacter.s__aggregatibacter_sp_oral_taxon_458,0.0006330318
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_family_xiii_incertae_sedis.g__clostridiales_family_xiii_incertae_sedis_unclassified,0.000631788
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__enterocloster.s__enterocloster_bolteae,0.00063053356
k__bacteria.p__actinobacteria.c__coriobacteriia.o__coriobacteriales.f__coriobacteriaceae.g__collinsella.s__collinsella_intestinalis,0.0006251815
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__clostridioides,0.00062446285
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__jerseyvirus.s__jerseyvirus_jersey,0.0006222739
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__coprococcus.s__coprococcus_comes,0.00061517523
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__anaerotruncus.s__anaerotruncus_sp_cag_528,0.00061441766
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__clostridiaceae.g__clostridium.s__clostridium_cadaveris,0.00061001815
k__bacteria.p__firmicutes.c__firmicutes_unclassified.o__firmicutes_unclassified.f__firmicutes_unclassified.g__firmicutes_unclassified,0.0006058372
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__clostridioides.s__clostridioides_difficile,0.00060535234
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiaceae.g__hungatella.s__hungatella_hathewayi,0.0006002517
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__podoviridae.s__weissella_phage_phiys61,0.0005997501
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__roseburia.s__roseburia_sp,0.0005982757
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_unclassified.g__monoglobus,0.0005973897
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__thiotrichales.f__francisellaceae.g__allofrancisella.s__allofrancisella_frigidaquae,0.0005962886
k__bacteria.p__actinobacteria.c__actinobacteria.o__micrococcales.f__micrococcaceae.g__rothia.s__rothia_dentocariosa,0.00059359754
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__ruminococcaceae.g__ruthenibacterium,0.00059304555
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae.g__actinomyces.s__actinomyces_odontolyticus,0.00059125986
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae.g__actinomyces.s__actinomyces_cardiffensis,0.0005880096
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__autographiviridae.g__przondovirus.s__przondovirus_kp32,0.0005879791
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__leuconostocaceae.g__weissella.s__weissella_confusa,0.00058736996
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__leuconostocaceae.g__weissella.s__weissella_cibaria,0.0005869819
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__lachnoclostridium.s__clostridium_symbiosum,0.0005862234
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiaceae.g__hungatella,0.0005843835
k__bacteria.p__actinobacteria.c__coriobacteriia.o__coriobacteriales.f__coriobacteriaceae.g__enorma.s__enorma_massiliensis,0.0005817666
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__blautia.s__blautia_hansenii,0.000577812
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_sp_cag_1092,0.0005769727
k__bacteria.p__actinobacteria.c__coriobacteriia.o__eggerthellales.f__eggerthellaceae.g__enterorhabdus.s__enterorhabdus_caecimuris,0.00057543797
k__bacteria.p__bacteroidota.c__sphingobacteriia.o__sphingobacteriales.f__sphingobacteriaceae,0.00057372643
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_sp_cag_520,0.0005729408
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__simiaoa.s__simiaoa_sunii,0.00057153555
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__oscillospiraceae.g__faecalibacterium,0.000569403
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__oscillospiraceae.g__ruminococcus.s__ruminococcus_bicirculans,0.000567151
k__bacteria.p__firmicutes.c__bacilli.o__bacillales.f__paenibacillaceae.g__paenibacillus.s__paenibacillus_sp,0.0005635374
k__bacteria.p__actinobacteria.c__coriobacteriia.o__coriobacteriales.f__atopobiaceae.g__atopobium.s__atopobium_rimae,0.00055945996
